luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,area,N,log_cone_contrast,dataset,ge_lambda,stim_id,t_frequency,orientation,eccentricity,vis_field,var_log_cone_contrast,stimulus,L,M,S,bkg_label,R,L_delta,M_delta,S_delta,R_delta,col_dir_label,sensitivity,L_delta_norm,M_delta_norm,S_delta_norm
10,0.5,92,63,2.5,19.6349540849362,1,-1.76704591607502,virsu1979,1.25,-1,0,0,10,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.118911818483893,0.0520716347293545,0.00456162848478067,NaN,NA,58.4851914736343,0.915457274335702,0.400879890723359,0.0351182584914808
10,1,92,63,2.5,19.6349540849362,1,-2.04064004623281,virsu1979,2.5,-1,0,0,10,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.0633331210499522,0.0277336532872029,0.00242954966709769,NaN,NA,109.809533419699,0.915457274335702,0.400879890723359,0.0351182584914808
10,2,92,63,2.5,19.6349540849362,1,-2.05773967936218,virsu1979,5,-1,0,0,10,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.0608879366971816,0.0266629039866979,0.00233574887642482,NaN,NA,114.219348688005,0.915457274335702,0.400879890723359,0.0351182584914808
10,4,92,63,2.5,19.6349540849362,1,-1.80466510895685,virsu1979,10,-1,0,0,10,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.10904501782521,0.0477509503230699,0.00418312381205634,NaN,NA,63.7771501276302,0.915457274335702,0.400879890723359,0.0351182584914808
10,8,92,63,2.5,19.6349540849362,1,-1.07964066392705,virsu1979,20,-1,0,0,10,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.578935622337009,0.253516636466438,0.0222088036275758,NaN,NA,12.0127009017596,0.915457274335702,0.400879890723359,0.0351182584914808
10,0.5,92,63,2.5,19.6349540849362,1,-1.65760826401099,virsu1979,1.25,-1,0,0,15,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.152989869002601,0.0669944558712997,0.00586891154489959,NaN,NA,45.4577843477357,0.915457274335702,0.400879890723359,0.0351182584914808
10,1,92,63,2.5,19.6349540849362,1,-1.94146217404955,virsu1979,2.5,-1,0,0,15,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.0795808846710407,0.0348485693925419,0.0030528372619971,NaN,NA,87.3900874720901,0.915457274335702,0.400879890723359,0.0351182584914808
10,2,92,63,2.5,19.6349540849362,1,-1.82860459537457,virsu1979,5,-1,0,0,15,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.103196826331862,0.0451900199197542,0.00395877877015351,NaN,NA,67.3914181250488,0.915457274335702,0.400879890723359,0.0351182584914808
10,4,92,63,2.5,19.6349540849362,1,-1.20959787593892,virsu1979,10,-1,0,0,15,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.429213191173481,0.187952995730474,0.0164652357004007,NaN,NA,16.2030911806194,0.915457274335702,0.400879890723359,0.0351182584914808
10,0.5,92,63,2.5,19.6349540849362,1,-1.46267244611199,virsu1979,1.25,-1,0,0,20,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.239661620025896,0.10494812454932,0.00919376464473873,NaN,NA,29.0183320623348,0.915457274335702,0.400879890723359,0.0351182584914808
10,1,92,63,2.5,19.6349540849362,1,-1.54475068533362,virsu1979,2.5,-1,0,0,20,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.198390216536859,0.0868753251030647,0.00761053421261842,NaN,NA,35.0550576228463,0.915457274335702,0.400879890723359,0.0351182584914808
10,2,92,63,2.5,19.6349540849362,1,-1.28141633505658,virsu1979,5,-1,0,0,20,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.363793220709058,0.159305508462503,0.0139556314865483,NaN,NA,19.1168501132418,0.915457274335702,0.400879890723359,0.0351182584914808
10,4,92,63,2.5,19.6349540849362,1,-0.320416952582018,virsu1979,10,-1,0,0,20,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,3.32547727355691,1.45623067662429,0.127570093956663,NaN,NA,2.09130296207677,0.915457274335702,0.400879890723359,0.0351182584914808
10,0.5,92,63,2.5,19.6349540849362,1,-1.34639494084652,virsu1979,1.25,-1,0,0,25,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.313239120519703,0.13716780446727,0.0120163034501391,NaN,NA,22.2021453162365,0.915457274335702,0.400879890723359,0.0351182584914808
10,1,92,63,2.5,19.6349540849362,1,-1.31561560124787,virsu1979,2.5,-1,0,0,25,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.336244613253069,0.147241938642107,0.0128988272589324,NaN,NA,20.6830985490742,0.915457274335702,0.400879890723359,0.0351182584914808
10,2,92,63,2.5,19.6349540849362,1,-0.812886387057344,virsu1979,5,-1,0,0,25,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,1.07000190211316,0.468555177415755,0.0410468128204599,NaN,NA,6.49959636405682,0.915457274335702,0.400879890723359,0.0351182584914808
10,0.5,92,63,2.5,19.6349540849362,1,-1.21301780239459,virsu1979,1.25,-1,0,0,30,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.425846551203428,0.186478739857332,0.0163360865461685,NaN,NA,16.3311889056167,0.915457274335702,0.400879890723359,0.0351182584914808
10,1,92,63,2.5,19.6349540849362,1,-1.07964066392705,virsu1979,2.5,-1,0,0,30,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,0.578935622337009,0.253516636466438,0.0222088036275758,NaN,NA,12.0127009017596,0.915457274335702,0.400879890723359,0.0351182584914808
10,2,92,63,2.5,19.6349540849362,1,-0.474313650979824,virsu1979,5,-1,0,0,30,180,NaN,grating,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,NaN,2.33322857076199,1.02172372288856,0.0895060057578183,NaN,NA,2.9806683149938,0.915457274335702,0.400879890723359,0.0351182584914808
20,0.5,93,64,1.25,6.25,1,-1.6187166315861,robson1966,0.625,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.335932949627119,0.145253472430444,0.00993955971806124,NaN,NA,41.5639325699997,0.917533494872012,0.396730735551049,0.02714791441484
20,0.707106781186547,93,64,1.25,6.25,1,-1.84364912712273,robson1966,0.883883476483184,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.200133646166902,0.0865354443146337,0.00592153978904803,NaN,NA,69.7668519700006,0.917533494872012,0.396730735551049,0.02714791441484
20,1,93,64,1.25,6.25,1,-1.98283705454748,robson1966,1.25,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.145255364424234,0.0628067181120189,0.00429780517411581,NaN,NA,96.1251553200002,0.917533494872012,0.396730735551049,0.02714791441484
20,1.4142135623731,93,64,1.25,6.25,1,-2.16332510564171,robson1966,1.76776695296637,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0958614798749202,0.041449381013708,0.00283634250506273,NaN,NA,145.654902100001,0.917533494872012,0.396730735551049,0.02714791441484
20,2,93,64,1.25,6.25,1,-2.21996325650836,robson1966,2.5,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0841406724030352,0.0363814411558593,0.00248954810475156,NaN,NA,165.944650400001,0.917533494872012,0.396730735551049,0.02714791441484
20,2.82842712474619,93,64,1.25,6.25,1,-2.32428101944778,robson1966,3.53553390593274,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0661741262057497,0.0286129170333091,0.00195795524059981,NaN,NA,210.9993024,0.917533494872012,0.396730735551049,0.02714791441484
20,4,93,64,1.25,6.25,1,-2.31426259765232,robson1966,5,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0677183920176572,0.029280639481447,0.00200364686529769,NaN,NA,206.187625700002,0.917533494872012,0.396730735551049,0.02714791441484
20,5.65685424949238,93,64,1.25,6.25,1,-2.2534606192542,robson1966,7.07106781186547,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0778948267252401,0.0336808106461953,0.00230474647641129,NaN,NA,179.2506005,0.917533494872012,0.396730735551049,0.02714791441484
20,8,93,64,1.25,6.25,1,-2.17362111606631,robson1966,10,-1,1,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0936155770740837,0.040478278950261,0.00276989089608941,NaN,NA,149.149264500001,0.917533494872012,0.396730735551049,0.02714791441484
