luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,area,N,log_cone_contrast,dataset,ge_lambda,stim_id,t_frequency,orientation,eccentricity,vis_field,var_log_cone_contrast,stimulus,sensitivity
50,0.125,1,1,4.4143593773175,61.2188611096406,1,-2.14285714285714,rovamo1993,0.551794922164688,-1,0,0,0,180,NaN,grating,138.949549437313
50,0.125,1,1,8.87455070549337,247.424455358884,1,-2.22527472527473,rovamo1993,1.10931883818667,-1,0,0,0,180,NaN,grating,167.986632911378
50,0.125,1,1,17.5076696085025,962.956252459904,1,-2.34065934065934,rovamo1993,2.18845870106281,-1,0,0,0,180,NaN,grating,219.108557989222
50,0.25,1,1,2.14297399243167,14.4272538540853,1,-1.92391304347826,rovamo1993,0.535743498107918,-1,0,0,0,180,NaN,grating,83.9291922645137
50,0.25,1,1,4.37744786138333,60.1993548138352,1,-2.1195652173913,rovamo1993,1.09436196534583,-1,0,0,0,180,NaN,grating,131.693766054906
50,0.25,1,1,8.77529647989799,241.920944502639,1,-2.39673913043478,rovamo1993,2.1938241199745,-1,0,0,0,180,NaN,grating,249.309673776862
50,0.25,1,1,17.2639173970251,936.329208823939,1,-2.4945652173913,rovamo1993,4.31597934925628,-1,0,0,0,180,NaN,grating,312.295134022162
50,0.5,1,1,1.12781553327762,3.99600493830675,1,-1.83977900552486,rovamo1993,0.563907766638811,-1,0,0,0,180,NaN,grating,69.1479016345791
50,0.5,1,1,2.25450436199808,15.9680554669721,1,-2.07182320441989,rovamo1993,1.12725218099904,-1,0,0,0,180,NaN,grating,117.984024040972
50,0.5,1,1,4.42317382323793,61.4635847636877,1,-2.30386740331492,rovamo1993,2.21158691161896,-1,0,0,0,180,NaN,grating,201.310952318754
50,0.5,1,1,9.00901056397837,254.978795396292,1,-2.58563535911602,rovamo1993,4.50450528198918,-1,0,0,0,180,NaN,grating,385.15483944781
50,0.5,1,1,17.675024440648,981.453930705507,1,-2.66850828729282,rovamo1993,8.837512220324,-1,0,0,0,180,NaN,grating,466.131322726707
50,1,1,1,0.564189583547756,1,1,-1.80327868852459,rovamo1993,0.564189583547756,-1,0,0,0,180,NaN,grating,63.5738757116483
50,1,1,1,1.10994795320508,3.87039332517875,1,-2.0327868852459,rovamo1993,1.10994795320508,-1,0,0,0,180,NaN,grating,107.841739692904
50,1,1,1,2.18363559829861,14.9799444915882,1,-2.31147540983607,rovamo1993,2.18363559829861,-1,0,0,0,180,NaN,grating,204.868604813362
50,1,1,1,4.37744786138333,60.1993548138352,1,-2.60655737704918,rovamo1993,4.37744786138333,-1,0,0,0,180,NaN,grating,404.16376730001
50,1,1,1,8.77529647989799,241.920944502639,1,-2.73770491803279,rovamo1993,8.77529647989799,-1,0,0,0,180,NaN,grating,546.644418403073
50,1,1,1,17.2639173970251,936.329208823939,1,-2.77049180327869,rovamo1993,17.2639173970251,-1,0,0,0,180,NaN,grating,589.510850740029
50,2,1,1,0.275390943410654,0.238258926299324,1,-1.86885245901639,rovamo1993,0.550781886821307,-1,0,0,0,180,NaN,grating,73.9354054836423
50,2,1,1,0.553641124845763,0.962956252459903,1,-2.04918032786885,rovamo1993,1.10728224969153,-1,0,0,0,180,NaN,grating,111.990279327247
50,2,1,1,1.09222046469117,3.74774895556145,1,-2.32786885245902,rovamo1993,2.18444092938233,-1,0,0,0,180,NaN,grating,212.749649104015
50,2,1,1,2.15472711464946,14.5859401172504,1,-2.50819672131148,rovamo1993,4.30945422929891,-1,0,0,0,180,NaN,grating,322.252816145084
50,2,1,1,4.33182561748702,58.9510850740029,1,-2.67213114754098,rovamo1993,8.66365123497404,-1,0,0,0,180,NaN,grating,470.03602789074
50,2,1,1,8.87455070549337,247.424455358884,1,-2.78688524590164,rovamo1993,17.7491014109867,-1,0,0,0,180,NaN,grating,612.188611096406
