bkg_id,L,M,S,bkg_label,dataset,R
1,36.7372648518233,15.8141236515338,1.04100192534928,D65,rovamo1993,NaN
2,27.4744764134073,12.5255235865927,0.955148484552597,d65,colorfest,NaN
3,0.0137372382067036,0.00626276179329636,0.000477574242276299,d65,hdr_csf,0.0534186096965401
4,0.137372382067036,0.0626276179329636,0.00477574242276299,d65,hdr_csf,0.534186096965401
5,1.37372382067036,0.626276179329636,0.0477574242276299,d65,hdr_csf,5.34186096965401
6,13.7372382067036,6.26276179329636,0.477574242276299,d65,hdr_csf,53.4186096965401
7,137.372382067036,62.6276179329636,4.77574242276299,d65,hdr_csf,534.186096965401
8,1373.72382067036,626.276179329636,47.7574242276299,d65,hdr_csf,5341.86096965401
9,4808.03337234628,2191.96662765373,167.150984796705,d65,hdr_csf,18696.513393789
10,6868.61910335182,3131.38089664818,238.787121138149,d65,hdr_csf,26709.30484827
11,0.0139814630585742,0.00601853694142584,0.000396184365436043,d65,kim2013,NaN
12,0.139814630585742,0.0601853694142584,0.00396184365436043,d65,kim2013,NaN
13,1.39814630585742,0.601853694142584,0.0396184365436043,d65,kim2013,NaN
14,27.9629261171483,12.0370738828517,0.792368730872086,d65,kim2013,NaN
15,139.814630585742,60.1853694142584,3.96184365436043,d65,kim2013,NaN
16,1.46949059407293e-05,6.32564946061353e-06,4.1640077013971e-07,d65,hdrvdp_csf,5.10643944754125e-05
17,0.000146949059407293,6.32564946061353e-05,4.1640077013971e-06,d65,hdrvdp_csf,0.000510643944754125
18,0.00146949059407293,0.000632564946061353,4.1640077013971e-05,d65,hdrvdp_csf,0.00510643944754125
19,0.0146949059407293,0.00632564946061353,0.00041640077013971,d65,hdrvdp_csf,0.0510643944754125
20,0.146949059407293,0.0632564946061353,0.0041640077013971,d65,hdrvdp_csf,0.510643944754125
21,1.46949059407293,0.632564946061353,0.041640077013971,d65,hdrvdp_csf,5.10643944754125
22,14.6949059407293,6.32564946061353,0.41640077013971,d65,hdrvdp_csf,51.0643944754125
23,110.21179455547,47.4423709546015,3.12300577604783,d65,hdrvdp_csf,382.982958565593
24,5.44516816457829,2.74202754168333,0.418027733661351,blue,five_centres,30.0015017910163
25,11.2080668798018,2.99803589805997,0.130663375578066,red,five_centres,18.0535457516324
26,14.952984597457,7.76528966567722,0.470615092529195,cyan,five_centres,61.6792417881928
27,34.8392575531552,13.9925203214859,0.392784595557108,yellow,five_centres,90.1468267049237
28,48.6593428349481,20.7243634922867,1.40568609975239,white,five_centres,163.020630080579
45,22.042358911094,9.48847419092029,0.624601155209565,d65,modelfest,NaN
46,85.3298009849395,28.505368499952,0.52381761717677,B1,lucassen2018,NaN
47,82.116382652872,31.2583076513626,1.09755523845838,B2,lucassen2018,NaN
48,79.8709309880542,33.5317066528446,1.93040474890503,B3,lucassen2018,NaN
49,44.084717822188,18.9769483818406,1.24920231041913,d65,laird2006,NaN
50,23.560694445981,12.3175967808694,0.373936701009002,BC1,kong2018,NaN
51,29.3697577136479,14.4939157378042,8.17137309386128,BC2,kong2018,NaN
52,33.8088386942858,4.99952850800758,0.349323251314877,BC3,kong2018,NaN
53,28.4870937370786,8.79972096503039,0.36210805579685,BC4,kong2018,NaN
54,24.9659304569645,12.8440502893901,2.26015973993483,BC5,kong2018,NaN
55,32.6709395531001,7.43332130069343,2.35444253297893,BC6,kong2018,NaN
56,28.612556977961,9.6091389958091,1.47217401394371,BC7,kong2018,NaN
57,28.961103484974,11.8576175861674,4.55584109854515,BC8,kong2018,NaN
58,32.313183254937,6.32631790202728,0.672511309876398,BC9,kong2018,NaN
63,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,virsu1979,NaN
64,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,robson1966,NaN
66,6.95458047250856,3.04541952749144,0.266787715363982,P4_white_phosphor,virsu1982,NaN
67,0.00230384458694655,0.000996155413053453,6.81659863330023e-05,d65,snowden1995,NaN
68,0.00279253889326854,0.00120746110673146,8.26254379793967e-05,d65,snowden1995,NaN
69,0.0621339903752251,0.0268660096247749,0.00183841599504158,d65,snowden1995,NaN
70,0.0767948195648849,0.0332051804351151,0.00227219954443341,d65,snowden1995,NaN
71,1.67552333596113,0.724476664038875,0.049575262787638,d65,snowden1995,NaN
72,2.01760935038652,0.872390649613478,0.0596968789401141,d65,snowden1995,NaN
73,2.68781868477097,1.16218131522903,0.0795269840551693,d65,snowden1995,NaN
74,54.4545084187366,23.5454915812634,1.61119604059824,d65,snowden1995,NaN
75,75.3985501182506,32.6014498817494,2.23088682544371,d65,snowden1995,NaN
76,102.625804327619,44.3741956723811,3.03648484574283,d65,snowden1995,NaN
77,118.682902963913,51.317097036087,3.51158111412436,d65,snowden1995,NaN
78,164.759794702844,71.240205297156,4.8749008407844,d65,snowden1995,NaN
83,69.8134723317136,30.1865276682864,2.06563594948492,d65,wright1983,NaN
99,0.071197753611642,0.0293789833086678,0.00188085987596926,E,vanderHorst1969_b,NaN
100,0.163754832710312,0.0675716613638111,0.00432597769897224,E,vanderHorst1969_b,NaN
101,0.284791013700987,0.117515932927015,0.00752343948418071,E,vanderHorst1969_b,NaN
102,0.365258981611466,0.160254036107162,0.0017151428641487,Y,vanderHorst1969_b,NaN
103,0.806907873022641,0.332961810318808,0.0213164118948244,E,vanderHorst1969_b,NaN
104,1.05011957159508,0.460730353572098,0.00493103573190174,Y,vanderHorst1969_b,NaN
105,3.55988767536303,1.4689491632798,0.0940429936605886,E,vanderHorst1969_b,NaN
